collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T21:00:00Z,2026-05-04T23:00:00+0200,811.215,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T22:00:00Z,2026-05-05T00:00:00+0200,926.39,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T23:00:00Z,2026-05-05T01:00:00+0200,795.3225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T00:00:00Z,2026-05-05T02:00:00+0200,619.2875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T01:00:00Z,2026-05-05T03:00:00+0200,595.94,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T02:00:00Z,2026-05-05T04:00:00+0200,508.025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T03:00:00Z,2026-05-05T05:00:00+0200,301.09,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T04:00:00Z,2026-05-05T06:00:00+0200,267.6175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T05:00:00Z,2026-05-05T07:00:00+0200,374.745,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-05T06:00:00Z,2026-05-05T08:00:00+0200,619.475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
