collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:30:00Z,2026-09-02T10:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:45:00Z,2026-09-02T10:45:00+0200,180.016,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:45:00Z,2026-09-02T10:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:00:00Z,2026-09-02T11:00:00+0200,192.36,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:00:00Z,2026-09-02T11:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:15:00Z,2026-09-02T11:15:00+0200,197.588,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:15:00Z,2026-09-02T11:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:30:00Z,2026-09-02T11:30:00+0200,173.504,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:30:00Z,2026-09-02T11:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:45:00Z,2026-09-02T11:45:00+0200,123.914,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T09:45:00Z,2026-09-02T11:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:00:00Z,2026-09-02T12:00:00+0200,145.051,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:00:00Z,2026-09-02T12:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:15:00Z,2026-09-02T12:15:00+0200,135.533,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:15:00Z,2026-09-02T12:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:30:00Z,2026-09-02T12:30:00+0200,110.531,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:30:00Z,2026-09-02T12:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:45:00Z,2026-09-02T12:45:00+0200,99.103,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T10:45:00Z,2026-09-02T12:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:00:00Z,2026-09-02T13:00:00+0200,115.445,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:00:00Z,2026-09-02T13:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:15:00Z,2026-09-02T13:15:00+0200,81.415,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:15:00Z,2026-09-02T13:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:30:00Z,2026-09-02T13:30:00+0200,96.544,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:30:00Z,2026-09-02T13:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T11:45:00Z,2026-09-02T13:45:00+0200,129.081,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
