collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:30:00Z,2026-09-11T20:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:30:00Z,2026-09-11T20:30:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:45:00Z,2026-09-11T20:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:45:00Z,2026-09-11T20:45:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:15:00Z,2026-09-11T21:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:15:00Z,2026-09-11T21:15:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:30:00Z,2026-09-11T21:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:30:00Z,2026-09-11T21:30:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:45:00Z,2026-09-11T21:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T19:45:00Z,2026-09-11T21:45:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:15:00Z,2026-09-11T22:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:15:00Z,2026-09-11T22:15:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:30:00Z,2026-09-11T22:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:30:00Z,2026-09-11T22:30:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:45:00Z,2026-09-11T22:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T20:45:00Z,2026-09-11T22:45:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:15:00Z,2026-09-11T23:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:15:00Z,2026-09-11T23:15:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:30:00Z,2026-09-11T23:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:30:00Z,2026-09-11T23:30:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:45:00Z,2026-09-11T23:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T21:45:00Z,2026-09-11T23:45:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:15:00Z,2026-09-12T00:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:15:00Z,2026-09-12T00:15:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:30:00Z,2026-09-12T00:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:30:00Z,2026-09-12T00:30:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:45:00Z,2026-09-12T00:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T22:45:00Z,2026-09-12T00:45:00+0200,0.122,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,0.134,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:15:00Z,2026-09-12T01:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:15:00Z,2026-09-12T01:15:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:30:00Z,2026-09-12T01:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:30:00Z,2026-09-12T01:30:00+0200,0.12,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:45:00Z,2026-09-12T01:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T23:45:00Z,2026-09-12T01:45:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:15:00Z,2026-09-12T02:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:15:00Z,2026-09-12T02:15:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:30:00Z,2026-09-12T02:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:30:00Z,2026-09-12T02:30:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:45:00Z,2026-09-12T02:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T00:45:00Z,2026-09-12T02:45:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:00:00Z,2026-09-12T03:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:00:00Z,2026-09-12T03:00:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:15:00Z,2026-09-12T03:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:15:00Z,2026-09-12T03:15:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:30:00Z,2026-09-12T03:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:30:00Z,2026-09-12T03:30:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:45:00Z,2026-09-12T03:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T01:45:00Z,2026-09-12T03:45:00+0200,0.123,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:00:00Z,2026-09-12T04:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:00:00Z,2026-09-12T04:00:00+0200,0.129,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:15:00Z,2026-09-12T04:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:15:00Z,2026-09-12T04:15:00+0200,0.12,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:30:00Z,2026-09-12T04:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:30:00Z,2026-09-12T04:30:00+0200,0.134,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:45:00Z,2026-09-12T04:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-12T02:45:00Z,2026-09-12T04:45:00+0200,0.134,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
