collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:00:00Z,2026-09-15T12:00:00+0200,207.767,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:00:00Z,2026-09-15T12:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:15:00Z,2026-09-15T12:15:00+0200,213.312,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:15:00Z,2026-09-15T12:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:30:00Z,2026-09-15T12:30:00+0200,210.196,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:30:00Z,2026-09-15T12:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:45:00Z,2026-09-15T12:45:00+0200,202.731,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T10:45:00Z,2026-09-15T12:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T11:00:00Z,2026-09-15T13:00:00+0200,209.9,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T11:00:00Z,2026-09-15T13:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T11:15:00Z,2026-09-15T13:15:00+0200,203.126,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T11:15:00Z,2026-09-15T13:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-22T00:13:17Z
2026-09-22T00:12:25Z,2026-09-22T02:12:25+0200,1573926f-bd58-4fa9-8a88-6b4da9058053,2026-09-15T11:30:00Z,2026-09-15T13:30:00+0200,207.275,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-22T00:13:17Z
