collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T13:00:00Z,2026-07-17T15:00:00+0200,62.8725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T14:00:00Z,2026-07-17T16:00:00+0200,36.5525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T15:00:00Z,2026-07-17T17:00:00+0200,123.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T16:00:00Z,2026-07-17T18:00:00+0200,210.1475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T17:00:00Z,2026-07-17T19:00:00+0200,229.775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T18:00:00Z,2026-07-17T20:00:00+0200,221.2175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T19:00:00Z,2026-07-17T21:00:00+0200,198.4725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T20:00:00Z,2026-07-17T22:00:00+0200,30.17,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T20:00:00Z,2026-07-17T22:00:00+0200,4.9475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-15T19:55:06Z
2026-08-15T19:54:38Z,2026-08-15T21:54:38+0200,77ad4abd-7efb-418e-b729-ec60fb5e932c,2026-07-17T21:00:00Z,2026-07-17T23:00:00+0200,24.0375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-15T19:55:06Z
