collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:15:00Z,2026-06-28T22:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:15:00Z,2026-06-28T22:15:00+0200,1.338,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:30:00Z,2026-06-28T22:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:30:00Z,2026-06-28T22:30:00+0200,1.356,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:45:00Z,2026-06-28T22:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T20:45:00Z,2026-06-28T22:45:00+0200,1.353,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:00:00Z,2026-06-28T23:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:00:00Z,2026-06-28T23:00:00+0200,1.364,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:15:00Z,2026-06-28T23:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:15:00Z,2026-06-28T23:15:00+0200,1.321,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:30:00Z,2026-06-28T23:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:30:00Z,2026-06-28T23:30:00+0200,1.389,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:45:00Z,2026-06-28T23:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T21:45:00Z,2026-06-28T23:45:00+0200,1.328,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:00:00Z,2026-06-29T00:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:00:00Z,2026-06-29T00:00:00+0200,1.374,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:15:00Z,2026-06-29T00:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:15:00Z,2026-06-29T00:15:00+0200,1.357,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:30:00Z,2026-06-29T00:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:30:00Z,2026-06-29T00:30:00+0200,1.328,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:45:00Z,2026-06-29T00:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T22:45:00Z,2026-06-29T00:45:00+0200,1.394,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:00:00Z,2026-06-29T01:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:00:00Z,2026-06-29T01:00:00+0200,1.317,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:15:00Z,2026-06-29T01:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:15:00Z,2026-06-29T01:15:00+0200,1.317,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:30:00Z,2026-06-29T01:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:30:00Z,2026-06-29T01:30:00+0200,1.394,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:45:00Z,2026-06-29T01:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-28T23:45:00Z,2026-06-29T01:45:00+0200,1.312,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:00:00Z,2026-06-29T02:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:00:00Z,2026-06-29T02:00:00+0200,1.358,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:15:00Z,2026-06-29T02:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:15:00Z,2026-06-29T02:15:00+0200,1.32,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:30:00Z,2026-06-29T02:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:30:00Z,2026-06-29T02:30:00+0200,1.35,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:45:00Z,2026-06-29T02:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T00:45:00Z,2026-06-29T02:45:00+0200,1.358,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:00:00Z,2026-06-29T03:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:00:00Z,2026-06-29T03:00:00+0200,1.34,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:15:00Z,2026-06-29T03:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:15:00Z,2026-06-29T03:15:00+0200,1.385,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:30:00Z,2026-06-29T03:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:30:00Z,2026-06-29T03:30:00+0200,1.321,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:45:00Z,2026-06-29T03:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T01:45:00Z,2026-06-29T03:45:00+0200,1.319,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T02:00:00Z,2026-06-29T04:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-29T15:03:47Z
2026-07-29T14:59:27Z,2026-07-29T16:59:27+0200,b74c182a-6a95-4812-9371-e464fc000b9a,2026-06-29T02:00:00Z,2026-06-29T04:00:00+0200,1.392,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-29T15:03:47Z
