collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T07:30:00Z,2026-06-24T09:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T07:45:00Z,2026-06-24T09:45:00+0200,213.944,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T07:45:00Z,2026-06-24T09:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:00:00Z,2026-06-24T10:00:00+0200,226.874,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:00:00Z,2026-06-24T10:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:15:00Z,2026-06-24T10:15:00+0200,239.132,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:15:00Z,2026-06-24T10:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:30:00Z,2026-06-24T10:30:00+0200,248.064,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:30:00Z,2026-06-24T10:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-07-24T20:21:00Z
2026-07-24T20:18:35Z,2026-07-24T22:18:35+0200,4bfb89b6-2edd-4406-afc4-9d2b875c573d,2026-06-24T08:45:00Z,2026-06-24T10:45:00+0200,259.459,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-07-24T20:21:00Z
