collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T00:00:00Z,2026-04-30T02:00:00+0200,1997.1075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T01:00:00Z,2026-04-30T03:00:00+0200,1873.3375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T02:00:00Z,2026-04-30T04:00:00+0200,1856.205,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T03:00:00Z,2026-04-30T05:00:00+0200,2036.6225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T04:00:00Z,2026-04-30T06:00:00+0200,1977.445,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T05:00:00Z,2026-04-30T07:00:00+0200,1871.51,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T06:00:00Z,2026-04-30T08:00:00+0200,1527.3975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T07:00:00Z,2026-04-30T09:00:00+0200,1215.3175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T08:00:00Z,2026-04-30T10:00:00+0200,833.6175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
2026-05-29T15:27:41Z,2026-05-29T17:27:41+0200,5c076161-b10d-4c19-94d6-0981d1551360,2026-04-30T09:00:00Z,2026-04-30T11:00:00+0200,570.5675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-29T15:27:54Z
