collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T01:00:00Z,2026-04-24T03:00:00+0200,243.6925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T02:00:00Z,2026-04-24T04:00:00+0200,242.8775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T03:00:00Z,2026-04-24T05:00:00+0200,185.7225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T04:00:00Z,2026-04-24T06:00:00+0200,148.4025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T05:00:00Z,2026-04-24T07:00:00+0200,129.0025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T06:00:00Z,2026-04-24T08:00:00+0200,173.7975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T07:00:00Z,2026-04-24T09:00:00+0200,209.6225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T08:00:00Z,2026-04-24T10:00:00+0200,199.6875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T09:00:00Z,2026-04-24T11:00:00+0200,190.9875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
2026-05-23T18:54:54Z,2026-05-23T20:54:54+0200,5c177944-0173-48a0-bbbd-6ff26db11873,2026-04-24T10:00:00Z,2026-04-24T12:00:00+0200,190.945,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-05-23T18:55:10Z
