timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T05:15:00Z,2022-01-01T06:15:00+0100,1319.1,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T05:15:00Z,2022-01-01T06:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T05:30:00Z,2022-01-01T06:30:00+0100,1244.16,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T05:30:00Z,2022-01-01T06:30:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T05:45:00Z,2022-01-01T06:45:00+0100,1053.07,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T05:45:00Z,2022-01-01T06:45:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,1027.78,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T06:00:00Z,2022-01-01T07:00:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T06:15:00Z,2022-01-01T07:15:00+0100,1014.51,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T06:15:00Z,2022-01-01T07:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T06:30:00Z,2022-01-01T07:30:00+0100,1004.53,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T06:30:00Z,2022-01-01T07:30:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T06:45:00Z,2022-01-01T07:45:00+0100,1018.42,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T06:45:00Z,2022-01-01T07:45:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T07:00:00Z,2022-01-01T08:00:00+0100,1043.68,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T07:00:00Z,2022-01-01T08:00:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T07:15:00Z,2022-01-01T08:15:00+0100,1078.39,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T07:15:00Z,2022-01-01T08:15:00+0100,0.08,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T07:30:00Z,2022-01-01T08:30:00+0100,1139.72,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T07:30:00Z,2022-01-01T08:30:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T07:45:00Z,2022-01-01T08:45:00+0100,1196.07,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T07:45:00Z,2022-01-01T08:45:00+0100,0.07,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T08:00:00Z,2022-01-01T09:00:00+0100,1268.38,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T08:00:00Z,2022-01-01T09:00:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T08:15:00Z,2022-01-01T09:15:00+0100,1198.68,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T08:15:00Z,2022-01-01T09:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T08:30:00Z,2022-01-01T09:30:00+0100,1157.82,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T08:30:00Z,2022-01-01T09:30:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T08:45:00Z,2022-01-01T09:45:00+0100,1176.37,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T08:45:00Z,2022-01-01T09:45:00+0100,0.04,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T09:00:00Z,2022-01-01T10:00:00+0100,1220.66,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T09:00:00Z,2022-01-01T10:00:00+0100,0.03,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T09:15:00Z,2022-01-01T10:15:00+0100,1296.71,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T09:15:00Z,2022-01-01T10:15:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T09:30:00Z,2022-01-01T10:30:00+0100,1318.93,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T09:30:00Z,2022-01-01T10:30:00+0100,0.06,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T09:45:00Z,2022-01-01T10:45:00+0100,1366.33,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
2022-01-01T09:45:00Z,2022-01-01T10:45:00+0100,0.05,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-05T15:28:49Z
2022-01-01T10:00:00Z,2022-01-01T11:00:00+0100,1412.6,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-05T15:28:49Z
