collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:45:00Z,2026-07-08T13:45:00+0200,135.989,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:45:00Z,2026-07-08T13:45:00+0200,0.029,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:00:00Z,2026-07-08T14:00:00+0200,149.284,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:00:00Z,2026-07-08T14:00:00+0200,0.027,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:15:00Z,2026-07-08T14:15:00+0200,118.283,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:15:00Z,2026-07-08T14:15:00+0200,0.028,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:30:00Z,2026-07-08T14:30:00+0200,113.616,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:30:00Z,2026-07-08T14:30:00+0200,0.027,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:45:00Z,2026-07-08T14:45:00+0200,107.875,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T12:45:00Z,2026-07-08T14:45:00+0200,0.026,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T13:00:00Z,2026-07-08T15:00:00+0200,114.576,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
