collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,251.47,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,12.24,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:15:00Z,2026-09-11T21:15:00+0200,232.14,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:15:00Z,2026-09-11T21:15:00+0200,14.19,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:30:00Z,2026-09-11T21:30:00+0200,210.597,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:30:00Z,2026-09-11T21:30:00+0200,16.345,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:45:00Z,2026-09-11T21:45:00+0200,196.418,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T19:45:00Z,2026-09-11T21:45:00+0200,24.519,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,186.692,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T15:08:54Z
2026-09-18T15:06:41Z,2026-09-18T17:06:41+0200,b3d1050f-9904-4b5d-a22f-89043dfece59,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,22.411,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T15:08:54Z
