collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:00:00Z,2026-09-08T13:00:00+0200,1.376,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:15:00Z,2026-09-08T13:15:00+0200,1119.839,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:15:00Z,2026-09-08T13:15:00+0200,1.095,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:30:00Z,2026-09-08T13:30:00+0200,1129.354,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:30:00Z,2026-09-08T13:30:00+0200,1.303,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:45:00Z,2026-09-08T13:45:00+0200,1135.071,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:45:00Z,2026-09-08T13:45:00+0200,1.706,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:00:00Z,2026-09-08T14:00:00+0200,1231.813,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:00:00Z,2026-09-08T14:00:00+0200,0.333,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:15:00Z,2026-09-08T14:15:00+0200,1125.483,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:15:00Z,2026-09-08T14:15:00+0200,3.06,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:30:00Z,2026-09-08T14:30:00+0200,971.249,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:30:00Z,2026-09-08T14:30:00+0200,6.643,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:45:00Z,2026-09-08T14:45:00+0200,995.057,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T12:45:00Z,2026-09-08T14:45:00+0200,5.587,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:00:00Z,2026-09-08T15:00:00+0200,1224.052,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:00:00Z,2026-09-08T15:00:00+0200,3.549,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:15:00Z,2026-09-08T15:15:00+0200,1163.15,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:15:00Z,2026-09-08T15:15:00+0200,1.846,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:30:00Z,2026-09-08T15:30:00+0200,1112.858,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:30:00Z,2026-09-08T15:30:00+0200,1.259,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:45:00Z,2026-09-08T15:45:00+0200,1095.105,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T13:45:00Z,2026-09-08T15:45:00+0200,1.422,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:00:00Z,2026-09-08T16:00:00+0200,1011.979,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:00:00Z,2026-09-08T16:00:00+0200,2.126,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:15:00Z,2026-09-08T16:15:00+0200,871.698,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:15:00Z,2026-09-08T16:15:00+0200,2.568,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:30:00Z,2026-09-08T16:30:00+0200,801.062,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:30:00Z,2026-09-08T16:30:00+0200,6.856,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:45:00Z,2026-09-08T16:45:00+0200,861.382,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T14:45:00Z,2026-09-08T16:45:00+0200,11.522,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:00:00Z,2026-09-08T17:00:00+0200,826.032,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:00:00Z,2026-09-08T17:00:00+0200,12.659,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:15:00Z,2026-09-08T17:15:00+0200,788.791,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:15:00Z,2026-09-08T17:15:00+0200,13.217,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:30:00Z,2026-09-08T17:30:00+0200,688.68,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:30:00Z,2026-09-08T17:30:00+0200,12.912,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:45:00Z,2026-09-08T17:45:00+0200,551.876,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T15:45:00Z,2026-09-08T17:45:00+0200,12.909,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
