timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-02T18:00:00Z,2026-01-02T19:00:00+0100,4798.5,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T18:15:00Z,2026-01-02T19:15:00+0100,4719.5,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T18:30:00Z,2026-01-02T19:30:00+0100,4702.84,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T18:45:00Z,2026-01-02T19:45:00+0100,4607.31,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T19:00:00Z,2026-01-02T20:00:00+0100,4492.91,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T19:15:00Z,2026-01-02T20:15:00+0100,4384.51,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T19:30:00Z,2026-01-02T20:30:00+0100,4210.15,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T19:45:00Z,2026-01-02T20:45:00+0100,3983.69,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T20:00:00Z,2026-01-02T21:00:00+0100,3719.12,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T20:15:00Z,2026-01-02T21:15:00+0100,3544.52,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T20:30:00Z,2026-01-02T21:30:00+0100,3367.79,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T20:45:00Z,2026-01-02T21:45:00+0100,3230.0,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T21:00:00Z,2026-01-02T22:00:00+0100,3102.69,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T21:15:00Z,2026-01-02T22:15:00+0100,2966.09,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T21:30:00Z,2026-01-02T22:30:00+0100,2869.14,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T21:45:00Z,2026-01-02T22:45:00+0100,2818.92,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T22:00:00Z,2026-01-02T23:00:00+0100,2726.35,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T22:15:00Z,2026-01-02T23:15:00+0100,2667.94,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T22:30:00Z,2026-01-02T23:30:00+0100,2623.13,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T22:45:00Z,2026-01-02T23:45:00+0100,2615.48,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T23:00:00Z,2026-01-03T00:00:00+0100,2661.15,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T23:15:00Z,2026-01-03T00:15:00+0100,2718.98,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T23:30:00Z,2026-01-03T00:30:00+0100,2768.23,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T23:45:00Z,2026-01-03T00:45:00+0100,2835.26,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T00:00:00Z,2026-01-03T01:00:00+0100,2920.26,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T00:15:00Z,2026-01-03T01:15:00+0100,2968.13,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T00:30:00Z,2026-01-03T01:30:00+0100,2974.55,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T00:45:00Z,2026-01-03T01:45:00+0100,3076.98,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T01:00:00Z,2026-01-03T02:00:00+0100,3219.27,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T01:15:00Z,2026-01-03T02:15:00+0100,3359.71,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T01:30:00Z,2026-01-03T02:30:00+0100,3435.49,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-03T01:45:00Z,2026-01-03T02:45:00+0100,3498.96,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
