collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T05:00:00Z,2026-08-29T07:00:00+0200,2095.9775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T06:00:00Z,2026-08-29T08:00:00+0200,1927.4775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T07:00:00Z,2026-08-29T09:00:00+0200,1455.785,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T08:00:00Z,2026-08-29T10:00:00+0200,886.6375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T09:00:00Z,2026-08-29T11:00:00+0200,839.275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T10:00:00Z,2026-08-29T12:00:00+0200,1037.32,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T11:00:00Z,2026-08-29T13:00:00+0200,1101.8925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T12:00:00Z,2026-08-29T14:00:00+0200,1546.0075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T13:00:00Z,2026-08-29T15:00:00+0200,1780.8025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T14:00:00Z,2026-08-29T16:00:00+0200,1947.815,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T15:00:00Z,2026-08-29T17:00:00+0200,2109.4975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T16:00:00Z,2026-08-29T18:00:00+0200,2089.925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T17:00:00Z,2026-08-29T19:00:00+0200,1894.9475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T18:00:00Z,2026-08-29T20:00:00+0200,2134.14,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T19:00:00Z,2026-08-29T21:00:00+0200,2145.0875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T20:00:00Z,2026-08-29T22:00:00+0200,2147.0175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T21:00:00Z,2026-08-29T23:00:00+0200,2147.7075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T22:00:00Z,2026-08-30T00:00:00+0200,2136.9375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T23:00:00Z,2026-08-30T01:00:00+0200,2135.194,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T00:00:00Z,2026-08-30T02:00:00+0200,2114.92075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T01:00:00Z,2026-08-30T03:00:00+0200,2115.4915,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T02:00:00Z,2026-08-30T04:00:00+0200,2117.11075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T03:00:00Z,2026-08-30T05:00:00+0200,2103.06825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T04:00:00Z,2026-08-30T06:00:00+0200,2123.4255,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T05:00:00Z,2026-08-30T07:00:00+0200,2124.75725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T06:00:00Z,2026-08-30T08:00:00+0200,2104.18725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T07:00:00Z,2026-08-30T09:00:00+0200,1994.6315,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T08:00:00Z,2026-08-30T10:00:00+0200,1655.088,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T09:00:00Z,2026-08-30T11:00:00+0200,1192.16425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T10:00:00Z,2026-08-30T12:00:00+0200,831.6015,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T11:00:00Z,2026-08-30T13:00:00+0200,586.2885,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T12:00:00Z,2026-08-30T14:00:00+0200,719.2225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T13:00:00Z,2026-08-30T15:00:00+0200,982.8275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T14:00:00Z,2026-08-30T16:00:00+0200,843.7605,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T15:00:00Z,2026-08-30T17:00:00+0200,1259.12875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T16:00:00Z,2026-08-30T18:00:00+0200,845.99375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T17:00:00Z,2026-08-30T19:00:00+0200,921.6725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T18:00:00Z,2026-08-30T20:00:00+0200,724.09675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T19:00:00Z,2026-08-30T21:00:00+0200,548.768,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T20:00:00Z,2026-08-30T22:00:00+0200,972.6125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T21:00:00Z,2026-08-30T23:00:00+0200,1000.39525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T22:00:00Z,2026-08-31T00:00:00+0200,829.135,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-30T23:00:00Z,2026-08-31T01:00:00+0200,1321.2325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T00:00:00Z,2026-08-31T02:00:00+0200,1678.77,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T01:00:00Z,2026-08-31T03:00:00+0200,1845.745,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T02:00:00Z,2026-08-31T04:00:00+0200,1816.6875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T03:00:00Z,2026-08-31T05:00:00+0200,2058.8575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T04:00:00Z,2026-08-31T06:00:00+0200,2051.5975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T05:00:00Z,2026-08-31T07:00:00+0200,1976.855,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T06:00:00Z,2026-08-31T08:00:00+0200,2124.375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T07:00:00Z,2026-08-31T09:00:00+0200,2108.35,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-31T08:00:00Z,2026-08-31T10:00:00+0200,2025.0,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
