collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T07:00:00Z,2026-09-14T09:00:00+0200,346.8825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T08:00:00Z,2026-09-14T10:00:00+0200,267.4075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T09:00:00Z,2026-09-14T11:00:00+0200,222.2775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T10:00:00Z,2026-09-14T12:00:00+0200,240.76,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T11:00:00Z,2026-09-14T13:00:00+0200,395.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T12:00:00Z,2026-09-14T14:00:00+0200,566.1475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T13:00:00Z,2026-09-14T15:00:00+0200,773.1425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T14:00:00Z,2026-09-14T16:00:00+0200,983.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T15:00:00Z,2026-09-14T17:00:00+0200,966.3525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T16:00:00Z,2026-09-14T18:00:00+0200,849.515,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
