collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T04:00:00Z,2026-09-11T06:00:00+0200,1652.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T05:00:00Z,2026-09-11T07:00:00+0200,1335.3825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T06:00:00Z,2026-09-11T08:00:00+0200,1059.165,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T07:00:00Z,2026-09-11T09:00:00+0200,708.9675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T08:00:00Z,2026-09-11T10:00:00+0200,445.3725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T09:00:00Z,2026-09-11T11:00:00+0200,229.5725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T10:00:00Z,2026-09-11T12:00:00+0200,81.715,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T11:00:00Z,2026-09-11T13:00:00+0200,90.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T12:00:00Z,2026-09-11T14:00:00+0200,119.7325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T13:00:00Z,2026-09-11T15:00:00+0200,102.3875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T14:00:00Z,2026-09-11T16:00:00+0200,15.3975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T15:00:00Z,2026-09-11T17:00:00+0200,7.11,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T16:00:00Z,2026-09-11T18:00:00+0200,27.355,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T17:00:00Z,2026-09-11T19:00:00+0200,18.9375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T18:00:00Z,2026-09-11T20:00:00+0200,13.4175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T19:00:00Z,2026-09-11T21:00:00+0200,25.065,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T20:00:00Z,2026-09-11T22:00:00+0200,28.2975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T21:00:00Z,2026-09-11T23:00:00+0200,30.78,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T22:00:00Z,2026-09-12T00:00:00+0200,30.2475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T23:00:00Z,2026-09-12T01:00:00+0200,28.4225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T00:00:00Z,2026-09-12T02:00:00+0200,17.7375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T01:00:00Z,2026-09-12T03:00:00+0200,35.505,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T02:00:00Z,2026-09-12T04:00:00+0200,96.545,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T03:00:00Z,2026-09-12T05:00:00+0200,122.695,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T04:00:00Z,2026-09-12T06:00:00+0200,106.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T05:00:00Z,2026-09-12T07:00:00+0200,173.4575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T06:00:00Z,2026-09-12T08:00:00+0200,236.765,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T07:00:00Z,2026-09-12T09:00:00+0200,421.7575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T08:00:00Z,2026-09-12T10:00:00+0200,834.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T09:00:00Z,2026-09-12T11:00:00+0200,892.785,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T10:00:00Z,2026-09-12T12:00:00+0200,1020.1875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T11:00:00Z,2026-09-12T13:00:00+0200,1190.365,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T12:00:00Z,2026-09-12T14:00:00+0200,1614.09,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T13:00:00Z,2026-09-12T15:00:00+0200,2030.085,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T14:00:00Z,2026-09-12T16:00:00+0200,2108.48,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T15:00:00Z,2026-09-12T17:00:00+0200,2129.5625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T16:00:00Z,2026-09-12T18:00:00+0200,2112.2825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-12T17:00:00Z,2026-09-12T19:00:00+0200,2123.63,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
