collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T05:45:00Z,2026-05-07T07:45:00+0200,156.18,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T06:00:00Z,2026-05-07T08:00:00+0200,153.86,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T06:15:00Z,2026-05-07T08:15:00+0200,157.84,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T06:30:00Z,2026-05-07T08:30:00+0200,165.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T06:45:00Z,2026-05-07T08:45:00+0200,175.44,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T07:00:00Z,2026-05-07T09:00:00+0200,172.29,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T07:15:00Z,2026-05-07T09:15:00+0200,170.82,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T07:30:00Z,2026-05-07T09:30:00+0200,174.78,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T07:45:00Z,2026-05-07T09:45:00+0200,165.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T08:00:00Z,2026-05-07T10:00:00+0200,157.36,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T08:15:00Z,2026-05-07T10:15:00+0200,158.62,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T08:30:00Z,2026-05-07T10:30:00+0200,145.2,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T08:45:00Z,2026-05-07T10:45:00+0200,134.58,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T09:00:00Z,2026-05-07T11:00:00+0200,115.86,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T09:15:00Z,2026-05-07T11:15:00+0200,109.93,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T09:30:00Z,2026-05-07T11:30:00+0200,103.0,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T09:45:00Z,2026-05-07T11:45:00+0200,85.87,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T10:00:00Z,2026-05-07T12:00:00+0200,65.76,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T10:15:00Z,2026-05-07T12:15:00+0200,57.12,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T10:30:00Z,2026-05-07T12:30:00+0200,76.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T10:45:00Z,2026-05-07T12:45:00+0200,100.22,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T11:00:00Z,2026-05-07T13:00:00+0200,101.79,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T11:15:00Z,2026-05-07T13:15:00+0200,100.04,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T11:30:00Z,2026-05-07T13:30:00+0200,98.14,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T11:45:00Z,2026-05-07T13:45:00+0200,103.35,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T12:00:00Z,2026-05-07T14:00:00+0200,112.69,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T12:15:00Z,2026-05-07T14:15:00+0200,126.22,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T12:30:00Z,2026-05-07T14:30:00+0200,117.02,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T12:45:00Z,2026-05-07T14:45:00+0200,119.77,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T13:00:00Z,2026-05-07T15:00:00+0200,118.76,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T13:15:00Z,2026-05-07T15:15:00+0200,128.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T13:30:00Z,2026-05-07T15:30:00+0200,145.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T13:45:00Z,2026-05-07T15:45:00+0200,130.04,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T14:00:00Z,2026-05-07T16:00:00+0200,124.82,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T14:15:00Z,2026-05-07T16:15:00+0200,138.34,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T14:30:00Z,2026-05-07T16:30:00+0200,150.67,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T14:45:00Z,2026-05-07T16:45:00+0200,157.45,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
2026-06-06T19:02:24Z,2026-06-06T21:02:24+0200,073fa9e4-2f40-4386-a059-a1a279da6013,2026-05-07T15:00:00Z,2026-05-07T17:00:00+0200,169.5,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-06T19:03:33Z
