collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:45:00Z,2026-06-29T14:45:00+0200,307.022,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:45:00Z,2026-06-29T14:45:00+0200,1.172,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:00:00Z,2026-06-29T15:00:00+0200,332.338,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:00:00Z,2026-06-29T15:00:00+0200,0.989,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:15:00Z,2026-06-29T15:15:00+0200,326.382,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:15:00Z,2026-06-29T15:15:00+0200,0.886,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:30:00Z,2026-06-29T15:30:00+0200,321.639,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:30:00Z,2026-06-29T15:30:00+0200,1.006,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:45:00Z,2026-06-29T15:45:00+0200,327.202,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T13:45:00Z,2026-06-29T15:45:00+0200,0.973,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T14:00:00Z,2026-06-29T16:00:00+0200,322.276,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T14:00:00Z,2026-06-29T16:00:00+0200,0.925,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
