collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:15:00Z,2026-09-14T00:15:00+0200,0.722,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:15:00Z,2026-09-14T00:15:00+0200,6.793,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:30:00Z,2026-09-14T00:30:00+0200,1.186,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:30:00Z,2026-09-14T00:30:00+0200,6.79,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:45:00Z,2026-09-14T00:45:00+0200,1.122,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:45:00Z,2026-09-14T00:45:00+0200,7.262,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:00:00Z,2026-09-14T01:00:00+0200,0.613,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:00:00Z,2026-09-14T01:00:00+0200,7.22,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:15:00Z,2026-09-14T01:15:00+0200,0.617,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:15:00Z,2026-09-14T01:15:00+0200,7.005,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:30:00Z,2026-09-14T01:30:00+0200,0.316,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:30:00Z,2026-09-14T01:30:00+0200,7.267,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:45:00Z,2026-09-14T01:45:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T23:45:00Z,2026-09-14T01:45:00+0200,7.449,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:00:00Z,2026-09-14T02:00:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:00:00Z,2026-09-14T02:00:00+0200,7.194,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:15:00Z,2026-09-14T02:15:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:15:00Z,2026-09-14T02:15:00+0200,7.21,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:30:00Z,2026-09-14T02:30:00+0200,0.384,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:30:00Z,2026-09-14T02:30:00+0200,7.234,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:45:00Z,2026-09-14T02:45:00+0200,1.45,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T00:45:00Z,2026-09-14T02:45:00+0200,6.788,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:00:00Z,2026-09-14T03:00:00+0200,0.839,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:00:00Z,2026-09-14T03:00:00+0200,6.981,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:15:00Z,2026-09-14T03:15:00+0200,0.406,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:15:00Z,2026-09-14T03:15:00+0200,7.703,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:30:00Z,2026-09-14T03:30:00+0200,0.348,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:30:00Z,2026-09-14T03:30:00+0200,7.417,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:45:00Z,2026-09-14T03:45:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T01:45:00Z,2026-09-14T03:45:00+0200,7.541,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,7.507,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:15:00Z,2026-09-14T04:15:00+0200,0.335,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:15:00Z,2026-09-14T04:15:00+0200,7.395,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:30:00Z,2026-09-14T04:30:00+0200,0.483,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:30:00Z,2026-09-14T04:30:00+0200,7.279,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:45:00Z,2026-09-14T04:45:00+0200,0.316,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T02:45:00Z,2026-09-14T04:45:00+0200,7.31,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T03:00:00Z,2026-09-14T05:00:00+0200,0.29,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T03:00:00Z,2026-09-14T05:00:00+0200,7.226,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T03:15:00Z,2026-09-14T05:15:00+0200,1.975,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T03:15:00Z,2026-09-14T05:15:00+0200,7.198,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-14T03:30:00Z,2026-09-14T05:30:00+0200,4.425,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
