collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:00:00Z,2026-09-06T12:00:00+0200,48.852,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:00:00Z,2026-09-06T12:00:00+0200,0.142,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:15:00Z,2026-09-06T12:15:00+0200,47.506,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:15:00Z,2026-09-06T12:15:00+0200,0.054,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:30:00Z,2026-09-06T12:30:00+0200,49.472,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:30:00Z,2026-09-06T12:30:00+0200,0.095,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:45:00Z,2026-09-06T12:45:00+0200,53.421,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T10:45:00Z,2026-09-06T12:45:00+0200,0.084,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:00:00Z,2026-09-06T13:00:00+0200,63.422,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:00:00Z,2026-09-06T13:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:15:00Z,2026-09-06T13:15:00+0200,75.824,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:15:00Z,2026-09-06T13:15:00+0200,0.045,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:30:00Z,2026-09-06T13:30:00+0200,73.835,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:30:00Z,2026-09-06T13:30:00+0200,0.02,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:45:00Z,2026-09-06T13:45:00+0200,63.094,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T11:45:00Z,2026-09-06T13:45:00+0200,0.038,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:00:00Z,2026-09-06T14:00:00+0200,58.42,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:00:00Z,2026-09-06T14:00:00+0200,0.101,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:15:00Z,2026-09-06T14:15:00+0200,58.031,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:15:00Z,2026-09-06T14:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:30:00Z,2026-09-06T14:30:00+0200,58.191,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:30:00Z,2026-09-06T14:30:00+0200,0.054,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T12:45:00Z,2026-09-06T14:45:00+0200,53.427,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
