collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T11:15:00Z,2026-09-17T13:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T11:30:00Z,2026-09-17T13:30:00+0200,679.105,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T11:30:00Z,2026-09-17T13:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T11:45:00Z,2026-09-17T13:45:00+0200,676.894,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T11:45:00Z,2026-09-17T13:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:00:00Z,2026-09-17T14:00:00+0200,663.549,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:00:00Z,2026-09-17T14:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:15:00Z,2026-09-17T14:15:00+0200,707.123,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:15:00Z,2026-09-17T14:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:30:00Z,2026-09-17T14:30:00+0200,741.015,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:30:00Z,2026-09-17T14:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:45:00Z,2026-09-17T14:45:00+0200,736.355,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T12:45:00Z,2026-09-17T14:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T13:00:00Z,2026-09-17T15:00:00+0200,708.521,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T13:00:00Z,2026-09-17T15:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-24T05:53:19Z
2026-09-24T05:51:53Z,2026-09-24T07:51:53+0200,733d722e-e2ee-473e-8cf7-a69f5f5b94b8,2026-09-17T13:15:00Z,2026-09-17T15:15:00+0200,703.818,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-24T05:53:19Z
